song_id,song_name,id_artists,name_artists,popularity,explicit,song_type,track_number,num_artists,num_available_markets,release_date,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
7eS959IbSi81CQ5kSB64HT,Bad Decisions,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],24,FALSE,Solo,12,1,24,5/20/16,226427,4,0,4,0.0149,0.697,0.643,0,0.28,-5.399,0.0427,0.817,131.96
4JJbnMA73TiInSEaSD2NtI,Touch It,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],28,FALSE,Solo,13,1,24,5/20/16,260000,7,0,4,0.0305,0.536,0.694,0,0.183,-4.369,0.0331,0.293,100.899
3BJLJsOOHyaRQaSZJGxeDE,Knew Better / Forever Boy,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],24,FALSE,Solo,14,1,24,5/20/16,299213,6,1,4,0.235,0.484,0.38,0.0000038,0.0998,-6.706,0.071,0.372,106.652
4jPkb4FWzVP7NKeIMMSKF7,Thinking Bout You,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],38,FALSE,Solo,15,1,24,5/20/16,200400,11,1,4,0.0164,0.519,0.704,0.000479,0.121,-6.08,0.0577,0.434,103.014
7AzMEO5Dg74gLK4s3vvqYn,Moonlight,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],14,FALSE,Solo,1,1,22,5/20/16,202360,9,1,3,0.417,0.626,0.412,0.00000355,0.048,-7.339,0.0292,0.209,102.169
2W0Y7S3RZ0S5B3X4Ve4Qfl,Dangerous Woman,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],19,FALSE,Solo,2,1,22,5/20/16,235947,4,0,3,0.0529,0.662,0.602,0,0.356,-5.369,0.0401,0.29,133.969
7JOUHzzEMIuHT1ETbRGon2,Be Alright,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],15,FALSE,Solo,3,1,22,5/20/16,179293,1,0,4,0.169,0.813,0.456,0.00000285,0.105,-7.667,0.0685,0.587,108.801
2jCbLUgE3x4QBCwl0I75aI,Into You,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],18,FALSE,Solo,4,1,22,5/20/16,244453,9,1,4,0.0162,0.623,0.734,0.0000019,0.145,-5.95,0.107,0.372,107.853
4kKDkUwPria5AFZvUMZoH8,Side To Side,"['66CXWjxzNUsdJxJ2JdwvnR', '0hCNtLu0JehylgoiP8L4Gh']","['Ariana Grande', 'Nicki Minaj']",17,FALSE,Collaboration,5,2,22,5/20/16,226160,6,0,4,0.0415,0.644,0.725,0,0.165,-5.816,0.184,0.67,159.172
1WMQTjW0oRA66XdtmVUKi8,Let Me Love You,"['66CXWjxzNUsdJxJ2JdwvnR', '55Aa2cqylxrFIXC767Z865']","['Ariana Grande', 'Lil Wayne']",15,FALSE,Collaboration,6,2,22,5/20/16,223853,2,1,3,0.0295,0.528,0.435,0,0.243,-8.363,0.129,0.0781,102.704
6NnYy9wg3JaZV622xboXTu,Greedy,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],15,FALSE,Solo,7,1,22,5/20/16,214907,1,1,4,0.0323,0.62,0.705,0,0.092,-5.335,0.0989,0.844,109.974
0jISoWCCqQyr3tvoQEfeck,Leave Me Lonely,"['66CXWjxzNUsdJxJ2JdwvnR', '4ylR3zwA0zaapAu94fktwa']","['Ariana Grande', 'Macy Gray']",12,FALSE,Collaboration,8,2,22,5/20/16,229680,8,0,3,0.596,0.445,0.449,0.0000234,0.339,-7.472,0.0315,0.374,90.927
1CbwwcXkWbUhc6E3V0Bcl5,Everyday,"['66CXWjxzNUsdJxJ2JdwvnR', '1RyvyyTE3xzB2ZywiAwp0i']","['Ariana Grande', 'Future']",14,FALSE,Collaboration,9,2,22,5/20/16,194840,7,0,4,0.0168,0.631,0.721,0,0.189,-4.51,0.0521,0.457,130.975
1xMCFmyVO51PPgWv1szzC5,Bad Decisions,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],13,FALSE,Solo,10,1,22,5/20/16,226427,4,0,4,0.0146,0.694,0.643,0,0.281,-5.404,0.0414,0.809,131.966
2xOpn5FbzNfpdocDzhKBCd,Thinking Bout You,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],13,FALSE,Solo,11,1,22,5/20/16,200400,11,1,4,0.0175,0.525,0.697,0.000435,0.121,-6.06,0.0632,0.426,103.038
0qMNPhpRzbghJy6G3SgRag,Intro,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],51,FALSE,Solo,1,1,63,8/25/14,79840,6,1,4,0.969,0.447,0.182,0.0000383,0.327,-12.439,0.0324,0.096,89.814
